"Continente", "País", "Código ISO", "Superficie (km²)", "Población (est. 2004)", "Capital", "Idiomas Oficiales", "Moneda"
"Asia", "Irán", "IRN", 1 648 195, 82 801 633, "Teherán", "Persa", "Rial iraní (IRR)"
"Asia", "Japón", "JPN", 377 915, 126 702 133, "Tokio", "Japonés", "Yen (¥, JPY)"
"Asia", "Jordania", "JOR", 89 342, 8 185 384, "Amán", "Árabe", "Dinar jordano (JD., JOD)"
"Asia", "Kazajistán", "KAZ", 2 724 900, 18 360 353, "Astaná", "Ruso", "Tenge kazajo (T, KZT)"
"Asia", "Kirguistán", "KGZ", 199 951, 5 727 553, "Biskek", "Ruso", "Som kirguís (KGS)"
"Asia", "Kuwait", "KWT", 17 818, 2 832 776, "Ciudad de Kuwait", "Árabe", "Dinar kuwaití (د.ك, KWD)"
"Asia", "Laos", "LAO", 236 800, 7 019 073, "Vientián", "Laosiano", "Kip laosiano (₭, LAK)"
"Asia", "Líbano", "LBN", 14 400, 6 237 738, "Beirut", "Árabe", "Libra libanesa (د.ك, LBP)"
"Asia", "Maldivas", "MDV", 298, 317 960, "Malé", "Maldivo", "Rupia de Maldivas (ރ, MVR)"
"Asia", "Malasia", "MYS", 329 847, 30 949 962, "Kuala Lumpur", "Malayo", "Ringgit (RM, MYR)"
"Asia", "Mongolia", "MNG", 1 564 116, 3 031 330, "Ulán Bator", "Mongol", "Tugrik mongol (₮, MNT)"
"Asia", "Nepal", "NPL", 147 181, 29 033 914, "Katmandú", "Nepalí", "Rupia nepalí (Rs, NPR)"
"Asia", "Omán", "OMN", 309 500, 3 355 262, "Mascate", "Árabe", "Rial omaní (ع., OMR)"
"Asia", "Pakistán", "PAK", 796 095, 201 995 540, "Islamabad", "Urdu, Inglés", "Rupia pakistaní (₴, PKR)"
"Asia", "Rusia", "RUS", 17 098 242, 142 355 415, "Moscú", "Ruso", "Rublo ruso (₣, RUB)"
"Asia", "Singapur", "SGP", 697, 5 781 728, "Ciudad de Singapur", "Inglés, Malayo, Chino, Tamil", "Dólar de Singapur (S$)"
"Asia", "Siria", "SYR", 185 180, 17 185 170, "Damasco", "Árabe", "Libra siria (S£, SYP)"
"Asia", "Sri Lanka", "LKA", 65 610, 22 235 000, "Sri Jayawardenapura Kotte", "Tamil", "Rupia de Sri Lanka (Rs, LKR)"
"Asia", "Tailandia", "THA", 513 120, 68 200 884, "Bangkok", "Tailandés", "Baht tailandés (฿, THB)"
"Asia", "Tayikistán", "TJK", 144 100, 8 330 946, "Dusambé", "Tayiko", "Somoni tayiko (TJS)"
"Asia", "Timor Oriental", "TLS", 14 874, 1 261 072, "Dili", "Portugués, Tetun", "Dólar estadounidense ($, "USD)
"Asia", "Turkmenistán", "TJK", 488 100, 5 291 317, "Asjabad", "Turcomano", "Manat turcomano (ман. TMT)"
"Asia", "Turquía", "TUR", 783 562, 75 627 384, "Ankara", "Turco", "Lira turca (TL, TRY)"
"Asia", "Uzbekistán", "UZB", 447 400, 29 473 614, "Taskent", "Uzbeko", "Som uzbeko (ман. UZS)"
"Asia", "Vietnam", "VNM", 331 210, 95 261 021, "Hanói", "Vietnamita", "Đồng vietnamita (₫, VND)"
"Asia", "Yemen", "YEM", 527 968, 27 392 779, "Saná", "Árabe","Rial yemení (YER)"
"Europa", "Albania", "ALB", 28.748, 3.038.594, "Tirana", "Albanés", "Lek albanés (L, ALL)"
"Europa", "Alemania", "DEU", 357.022, 80.722.792, "Berlín", "Alemán", "Euro (€, EUR)"
"Europa", "Andorra", "AND", 468, 85.660, "Andorra la Vieja", "Catalán", "Euro (€, EUR)"
"Europa", "Armenia", "ARM", 29.800, 3.229.900, "Ereván", "Armenio", "Dram armenio (դր., AMD)"
"Europa", "Austria", "AUT", 83.871, 8.711.770, "Viena", "Alemán", "Euro(€, EUR)"
"Europa", "Azerbaiyán", "AZE", 86.600, 9.872.765, "Bakú", "Azerí", "Manat azerbaiyano(m, AZN)"
"Europa", "Bélgica", "BEL", 30.528, 11.409.077, "Bruselas", "Francés, Neerlandés, Alemán", "Euro(€, EUR)"
"Europa", "Bielorrusia", "BLR", 207.600, 9.570.376, "Minsk", "Bielorruso, Ruso", "Rublo bielorruso(br, BYR)"
"Europa", "Bosnia y Herzegovina", "BIH", 51.197, 3.861.912, "Sarajevo", "Bosnio, Croata, Serbio", "Marco bosnioherzegovino(KM, BAM)"
"Europa", "Bulgaria", "BGR", 110.879, 7.144.653, "Sofía", "Búlgaro", "Lev(Лв, BGN)"
"Europa", "Chipre", "CYP", 9.251, 1.205.575, "Nicosia", "Griego, Turco", "Euro(€, EUR)"
"Europa", "Croacia", "HRV", 56.594, 4.313.707, "Zagreb", "Croata", "Kuna croata(kn., HRK)"
"Europa", "Dinamarca", "DNK", 43.094, 5.593.785, "Copenhague", "Danés", "Corona danesa(kr., DKK)"
"Europa", "Eslovaquia", "SVK", 49.035, 5.445.802, "Bratislava", "Eslovaco", "Euro(€, EUR)"
"Europa", "Eslovenia", "SVN", 20.273, 1.978.029, "Liubliana", "Esloveno", "Euro(€, EUR)"
"Europa", "España", "ESP", 505.370, 48.563.476, "Madrid", "Castellano", "Euro(€, EUR)"
"Europa", "Estonia", "EST", 45.228, 1.258.545, "Tallin", "Estonio", "Euro(€, EUR)"
"Europa", "Finlandia", "FIN", 338.145, 5.498.211, "Helsinki", "Finés, Sueco", "Euro(€, EUR)"
"Europa", "Francia", "FRA", 643.801, 66.836.154, "París", "Francés", "Euro(€, EUR)"
"Europa", "Georgia", "GEO", 69.700, 4.928.052, "Tiflis", "Georgiano", "Lari georgiano(GEL)"
"Europa", "Grecia", "GRC", 131.957, 10.773.253, "Atenas", "Griego", "Euro(€, EUR)"
"Europa", "Hungría", "HUN", 93.028, 9.874.784, "Budapest", "Húngaro", "Forinto húngaro(Ft, HUF)"
"Europa", "Irlanda", "IRL", 70.273, 4.952.473, "Dublín", "Irlandés, Inglés", "Euro(€, EUR)"
"Europa", "Islandia", "ISL", 103.000, 335.878, "Reikiavik", "Islandés", "Corona islandesa(kr., ISK)"
"Europa", "Italia", "ITA", 301.340, 62.007.540, "Roma", "Italiano", "Euro(€, EUR)"
"Europa", "Kazajistán", "KAZ", 2.724.900, 18.360.353, "Astaná", "Kazajo, Ruso", "Tenge kazajo(T, KZT)"
"Europa", "Letonia", "LVA", 64.589, 1.965.686, "Riga", "Letón", "Euro(€, EUR)"
"Europa", "Liechtenstein", "LIE", 160, 37.937, "Vaduz", "Alemán", "Franco suizo(Fr., CHF)"
"Europa", "Lituania", "LTU", 64.589, 1.965.686, "Vilna", "Lituano", "Euro(€, EUR)", 
"Europa", "Luxemburgo", "LUX", 2.586, 582.291, "Ciudad de Luxemburgo", "Luxemburgués, Francés, Alemán", "Euro(€, EUR)"
"Europa", "Macedonia del Norte", "MKD", 25.713, 2.100.025, "Skopie", "Macedonio", "Denar macedonio(Ден., MKD)"
"Europa", "Malta", "MLT", 316, 415.196, "La Valeta", "Maltés, Inglés", "Euro(€, EUR)"
"Europa", "Moldavia", "MDA", 33.851, 3.510.485, "Chisináu", "Rumano", "Leu moldavo(MDL)"
"Europa", "Mónaco", "MCO", 2, 30.581, "Ciudad de Mónaco", "Francés", "Euro(€, EUR)"
"Europa", "Montenegro", "MNE", 13.812, 644.578, "Podgorica", "Montenegrino", "Euro (€, EUR)"
"Europa", "Noruega", "NOR", 323.802, 5.265.158, "Oslo", "Noruego", "Corona noruega(kr., NOK)"
"Europa", "Países Bajos", "NLD", 41.543, 17.016.967, "Ámsterdam", "Neerlandés", "Euro(€, EUR)"
"Europa", "Polonia", "POL", 312.685, 38.523.261, "Varsovia", "Polaco", "Złoty(zł, PLN)"
"Europa", "Portugal", "PRT", 92.090, 10.833.816, "Lisboa", "Portugués", "Euro(€, EUR)"
"Europa", "Reino Unido", "GBR", 243.610, 64.430.428, "Londres", "Inglés, Escocés, Galés, Irlandés", "Libra esterlina(₤, GBP)"
"Europa", "República Checa", "CZE", 78.867, 10.644.842, "Praga", "Checo", "Corona checa(Kč, CZK)"
"Europa", "Rumania", "ROU", 238.391, 21.599.736, "Bucarest", "Rumano", "Leu rumano(RON)"
"Europa", "Rusia", "RUS", 17.098.242, 142.355.415, "Moscú", "Ruso", "Rublo ruso(₣, RUB)"
"Europa", "San Marino", "SMR", 61, 33.285, "Ciudad de San Marino", "Italiano", "Euro (€, EUR)"
"Europa", "Serbia", "SRB", 77.474, 7.143.921, "Belgrado", "Serbio", "Dinar serbio(дин., RSD)"
"Europa", "Suecia", "SWE", 450.295, 9.880.604, "Estocolmo", "Sueco", "Corona sueca(kr., SEK)"
"Europa", "Suiza", "CHE", 41.277, 8.179.294, "Berna", "Alemán, Francés, Italiano, Romanche", "Franco suizo(Fr., CHF)"
"Europa", "Turquía", "TUR", 783.562, 80.274.604, "Ankara", "Turco", "Lira turca(TL, TRY)"
"Europa", "Ucrania", "UKR", 603.550, 44.209.733, "Kiev", "Ucraniano", "Grivna(₴, UAH)"
"Europa", "Vaticano", "VAT", 0.44, 1.000, "Ciudad del Vaticano", "Latín, Italiano", "Euro (€, EUR)"
